Title,Company,Reward,Link
java/kotlin 시니어 개발,에스제이소프트,합격보상금 100만원,https://www.wanted.co.kr/wd/212445
시니어 백엔드 개발자 (Java/Kotlin),패스트파이브,합격보상금 100만원,https://www.wanted.co.kr/wd/171819
안드로이드앱(Kotlin) 개발자(병역특례_현역/보충역),넛지헬스케어(캐시워크),합격보상금 100만원,https://www.wanted.co.kr/wd/85839
[400억↑투자] Mobile App 안드로이드 (Android Kotlin) 개발자,스카이랩스(SkyLabs),합격보상금 100만원,https://www.wanted.co.kr/wd/178642
웹 개발자 -  백엔드 Java/Kotlin (3년이상),고요에이아이,합격보상금 100만원,https://www.wanted.co.kr/wd/196645
[100억↑투자] 백엔드(Kotlin) 개발자 (WIPPY 재팬 스쿼드),엔라이즈(NRISE),합격보상금 100만원,https://www.wanted.co.kr/wd/43127
"안드로이드 개발자(Kotlin,Java)",페이민트,합격보상금 100만원,https://www.wanted.co.kr/wd/211907
Java/Kotlin 백엔드 서버 엔지니어,티비유,합격보상금 100만원,https://www.wanted.co.kr/wd/118264
java/kotlin 시니어 개발,에스제이소프트,합격보상금 100만원,https://www.wanted.co.kr/wd/212445
시니어 백엔드 개발자 (Java/Kotlin),패스트파이브,합격보상금 100만원,https://www.wanted.co.kr/wd/171819
안드로이드앱(Kotlin) 개발자(병역특례_현역/보충역),넛지헬스케어(캐시워크),합격보상금 100만원,https://www.wanted.co.kr/wd/85839
[400억↑투자] Mobile App 안드로이드 (Android Kotlin) 개발자,스카이랩스(SkyLabs),합격보상금 100만원,https://www.wanted.co.kr/wd/178642
웹 개발자 -  백엔드 Java/Kotlin (3년이상),고요에이아이,합격보상금 100만원,https://www.wanted.co.kr/wd/196645
[100억↑투자] 백엔드(Kotlin) 개발자 (WIPPY 재팬 스쿼드),엔라이즈(NRISE),합격보상금 100만원,https://www.wanted.co.kr/wd/43127
"안드로이드 개발자(Kotlin,Java)",페이민트,합격보상금 100만원,https://www.wanted.co.kr/wd/211907
Java/Kotlin 백엔드 서버 엔지니어,티비유,합격보상금 100만원,https://www.wanted.co.kr/wd/118264
[인텔리전스랩스] 추천팀 백엔드 개발자 (Java/Kotlin),넥슨코리아(NEXON),합격보상금 100만원,https://www.wanted.co.kr/wd/209654
Backend Developer (Kotlin/Spring Boot),디렉셔널,합격보상금 100만원,https://www.wanted.co.kr/wd/172078
Backend Engineer (Kotlin),코인원(coinone),합격보상금 100만원,https://www.wanted.co.kr/wd/171459
Android/Kotlin 개발자 (3년 이상),레벨13(룩핀),합격보상금 100만원,https://www.wanted.co.kr/wd/210770
[400억↑투자] Backend Kotlin Developer [5년 이상],크몽(kmong),합격보상금 100만원,https://www.wanted.co.kr/wd/197273
[시크] Java / Kotlin 백엔드 개발자,팹(PAP),합격보상금 100만원,https://www.wanted.co.kr/wd/205880
"백엔드 개발자 (Kotlin/Spring, 3년차~15년차)",스팬딧(Spendit),합격보상금 100만원,https://www.wanted.co.kr/wd/100640
Java/Kotlin Backend Engineer (상품전시개발실),무신사,합격보상금 100만원,https://www.wanted.co.kr/wd/189781
Java/Kotlin Backend Engineer (구매개발실),무신사,합격보상금 100만원,https://www.wanted.co.kr/wd/188378
